Date,AAPL,AMZN,GBTC,GOOG,META,NFLX,NVDA,TSLA,^GSPC
2022-11-23,151.07000732421875,94.12999725341797,9.229999542236328,98.81999969482422,112.23999786376953,291.5,165.19000244140625,183.1999969482422,4027.260009765625
2022-11-25,148.11000061035156,93.41000366210938,9.029999732971191,97.5999984741211,111.41000366210938,285.5400085449219,162.6999969482422,182.86000061035156,4026.1201171875
2022-11-28,144.22000122070312,93.94999694824219,8.84000015258789,96.25,108.77999877929688,281.1700134277344,158.27000427246094,182.9199981689453,3963.93994140625
2022-11-29,141.1699981689453,92.41999816894531,8.6899995803833,95.44000244140625,109.45999908447266,280.9599914550781,156.38999938964844,180.8300018310547,3957.6298828125
2022-11-30,148.02999877929688,96.54000091552734,9.050000190734863,101.44999694824219,118.0999984741211,305.5299987792969,169.22999572753906,194.6999969482422,4080.110107421875
2022-12-01,148.30999755859375,95.5,8.890000343322754,101.27999877929688,120.44000244140625,316.95001220703125,171.35000610351562,194.6999969482422,4076.570068359375
2022-12-02,147.80999755859375,94.12999725341797,8.979999542236328,100.83000183105469,123.48999786376953,320.4100036621094,168.75999450683594,194.86000061035156,4071.699951171875
2022-12-05,146.6300048828125,91.01000213623047,8.819999694824219,99.87000274658203,122.43000030517578,312.5899963378906,166.10000610351562,182.4499969482422,3998.840087890625
2022-12-06,142.91000366210938,88.25,8.760000228881836,97.30999755859375,114.12000274658203,305.55999755859375,159.8699951171875,179.82000732421875,3941.260009765625
2022-12-07,140.94000244140625,88.45999908447266,8.109999656677246,95.1500015258789,113.93000030517578,308.4200134277344,161.1999969482422,174.0399932861328,3933.919921875
2022-12-08,142.64999389648438,90.3499984741211,8.1899995803833,93.94999694824219,115.33000183105469,310.260009765625,171.69000244140625,173.44000244140625,3963.510009765625
2022-12-09,142.16000366210938,89.08999633789062,8.029999732971191,93.06999969482422,115.9000015258789,320.010009765625,170.00999450683594,179.0500030517578,3934.3798828125
2022-12-12,144.49000549316406,90.55000305175781,8.100000381469727,93.55999755859375,114.70999908447266,315.17999267578125,175.35000610351562,167.82000732421875,3990.56005859375
2022-12-13,145.47000122070312,92.48999786376953,8.289999961853027,95.8499984741211,120.1500015258789,320.3399963378906,180.72000122070312,160.9499969482422,4019.64990234375
2022-12-14,143.2100067138672,91.58000183105469,8.399999618530273,95.30999755859375,121.58999633789062,317.8299865722656,176.74000549316406,156.8000030517578,3995.320068359375
2022-12-15,136.5,88.44999694824219,8.300000190734863,91.19999694824219,116.1500015258789,290.4100036621094,169.52000427246094,157.6699981689453,3895.75
2022-12-16,134.50999450683594,87.86000061035156,7.929999828338623,90.86000061035156,119.43000030517578,290.7099914550781,165.7100067138672,150.22999572753906,3852.360107421875
2022-12-19,132.3699951171875,84.91999816894531,8.130000114440918,89.1500015258789,114.4800033569336,288.29998779296875,162.5399932861328,149.8699951171875,3817.659912109375
2022-12-20,132.3000030517578,85.19000244140625,8.079999923706055,89.62999725341797,117.08999633789062,288.19000244140625,160.85000610351562,137.8000030517578,3821.6201171875
2022-12-21,135.4499969482422,86.7699966430664,8.050000190734863,90.25,119.76000213623047,297.9599914550781,165.00999450683594,137.57000732421875,3878.43994140625
2022-12-22,132.22999572753906,83.79000091552734,8.149999618530273,88.26000213623047,117.12000274658203,297.75,153.38999938964844,125.3499984741211,3822.389892578125
2022-12-23,131.86000061035156,85.25,8.329999923706055,89.80999755859375,118.04000091552734,294.9599914550781,152.05999755859375,123.1500015258789,3844.820068359375
